Experiment_run,true_energy,hybrid_model_energy,difference,SYK_N_Value,num_qubits,depth
experiment_number_0,-5.315575141437583,-5.315575122833252,3.4999658510800336e-07,8,4,1
experiment_number_1,-6.890957156811219,-6.892748832702637,0.025993633815826474,12,4,1
experiment_number_2,-5.315575141437583,-5.315575122833252,3.4999658510800336e-07,8,4,2
experiment_number_3,-5.315575141437583,-5.315572209433288,5.515877086853624e-05,8,4,2
